product_id,name,link,price,original_price,saving,serving_size,weight_g,dietary_symbols,energy_kcal,energy_kj,protein_g,fat_g,saturates_g,carbs_g,sugar_g,fibre_g,salt_g,sodium_g,protein_per_pound,kcal_per_pound,grams_per_pound
1512,Kids Chicken Paella,https://www.cookfood.net/products/chicken-paella,3.75,3.75,0.0,Serves 1 ,225.0,Microwave Only | Gluten Free | Dairy Free,257.0,1080.0,17.8,4.7,0.7,34.7,4.1,2.3,0.8,0.32,4.75,68.53,60.0
2378,Jerk Chicken with Pineapple Salsa,https://www.cookfood.net/products/jerk-chicken-pineapple-salsa,3.5,4.25,0.75,Pot for One,255.0,Microwave Only | Dairy Free | Chilli Level 1,245.0,1033.0,16.6,6.9,3.3,27.3,8.2,4.1,0.975,0.39,4.74,70.0,73.0
1271,Kids Pasta Bolognese,https://www.cookfood.net/products/kids-pasta-bolognese,3.75,3.75,0.0,Serves 1 ,220.0,Microwave Only,262.0,1100.0,17.4,8.6,2.9,26.6,5.5,4.4,0.5,0.2,4.64,69.87,59.0
567,Chicken Panang Curry,https://www.cookfood.net/products/chicken-panang-curry,6.5,6.5,0.0,Serves 1,250.0,Microwaveable | Gluten Free | Dairy Free | Chilli Level 2,378.0,1570.0,30.0,23.3,15.8,10.0,5.3,4.0,1.325,0.53,4.62,58.15,38.0
219,Lamb Casserole with New Potatoes,https://www.cookfood.net/products/lamb-casserole-with-new-potatoes,7.0,7.0,0.0,Serves 1,330.0,Microwaveable | Dairy Free,261.0,1092.0,31.9,7.3,2.4,19.1,2.3,5.0,1.625,0.65,4.56,37.29,47.0
47,Chicken Jalfrezi,https://www.cookfood.net/products/chicken-jalfrezi,6.5,6.5,0.0,Serves 1 ,300.0,Microwaveable | Gluten Free | Chilli Level 2,249.0,1053.0,29.4,7.8,1.0,17.7,10.8,4.2,2.675,1.07,4.52,38.31,46.0
1596,Halloumi & Roasted Vegetable Pasta,https://www.cookfood.net/products/halloumi-roasted-vegetable-pasta,3.5,4.25,0.75,Pot for One,345.0,Microwave Only | Suitable for Vegetarians,317.0,1332.0,15.8,9.3,4.4,45.2,14.8,5.9,1.625,0.65,4.51,90.57,99.0
920,Moroccan Spiced Lamb Tagine,https://www.cookfood.net/products/moroccan-spiced-lamb-tagine,7.0,7.0,0.0,Serves 1,290.0,Microwaveable | Gluten Free | Dairy Free | Chilli Level 1,307.0,1288.0,31.3,9.0,3.2,22.3,16.5,5.5,1.725,0.69,4.47,43.86,41.0
1046,Beef Madras,https://www.cookfood.net/products/beef-madras,7.0,7.0,0.0,Serves 1,300.0,Microwaveable | Gluten Free | Chilli Level 1,378.0,1575.0,31.2,19.5,6.9,17.1,13.5,4.5,2.4,0.96,4.46,54.0,43.0
11,Green Thai Chicken Curry,https://www.cookfood.net/products/green-thai-chicken-curry,6.5,6.5,0.0,Serves 1,260.0,Microwaveable | Gluten Free | Dairy Free | Chilli Level 1,307.0,1284.0,28.9,16.4,11.1,12.5,8.1,2.6,2.175,0.87,4.45,47.23,40.0
169,Kids Meatballs and Spaghetti,https://www.cookfood.net/products/meatballs-and-spaghetti,3.75,3.75,0.0,Serves 1,220.0,Microwave Only,224.0,944.0,16.7,9.2,3.1,17.2,4.4,3.1,0.65,0.26,4.45,59.73,59.0
17,Chilli con Carne,https://www.cookfood.net/products/chilli-con-carne,6.5,6.5,0.0,Serves 1,275.0,Microwaveable | Gluten Free | Chilli Level 2,275.0,1158.0,28.6,9.6,4.4,14.6,10.2,8.5,2.3,0.92,4.4,42.31,42.0
501,Meatballs in a Rustic Tomato Sauce,https://www.cookfood.net/products/meatballs-in-a-rustic-tomato-sauce,6.5,6.5,0.0,Serves 1,300.0,Microwaveable | Chilli Level 1,375.0,1566.0,28.6,21.0,6.0,20.7,4.5,5.4,1.7,0.68,4.4,57.69,46.0
12,Red Thai Chicken Curry,https://www.cookfood.net/products/red-thai-chicken-curry,6.5,6.5,0.0,Serves 1 ,250.0,Microwaveable | Gluten Free | Dairy Free | Chilli Level 2,368.0,1535.0,28.5,21.5,15.8,15.8,8.8,1.5,1.7,0.68,4.38,56.62,38.0
1812,Kids Chicken & Tomato Orzo Bake,https://www.cookfood.net/products/chicken-tomato-orzo-bake,3.75,3.75,0.0,Serves 1,210.0,Microwaveable,183.0,773.0,16.4,5.5,1.5,16.4,1.1,2.1,0.525,0.21,4.37,48.8,56.0
